symbol_number,name_in_hebrew,name_in_english,name_in_arabic,name_in_russian,Distance_From_Lebanon_Border,Distance_From_GazaStrip_Border,Distance_From_Syria_Border,Latitude,Longitude
328,עזוז ,EZUZ ,عِزوز,,262110.0,51460.0,248730,30.79206032236742,34.47261715502218
329,שדה נחמיה ,SEDE NEHEMYA ,سْدي نِحِمْيا,,6220.0,206150.0,17530,33.18618655435167,35.62343751362923
330,אלומות ,ALUMMOT ,ألُموت,,41320.0,158330.0,20680,32.707342424377856,35.5458712279014
331,ניר צבי ,NIR ZEVI ,نير تْسڤي,,128600.0,52920.0,122100,31.95101210831733,34.86362549694352
334,קבוצת יבנה ,QEVUZAT YAVNE ,كْڤوتْسات يڤني,,146380.0,32540.0,142470,31.81506281071021,34.72014765685982
335,רמת השופט ,RAMAT HASHOFET ,رَمات هشوفيت,,53090.0,126160.0,64300,32.61163194627234,35.09718194445622
336,דורות ,DOROT ,دوروت,,181260.0,8160.0,173210,31.505610864415885,34.64611553611633
338,איבים ,IBBIM ,إبيم,Ибим,179210.0,4120.0,172930,31.53336402980005,34.61020247434669
339,רמת צבי ,RAMAT ZEVI ,رَمات تْسڤي,,51500.0,140630.0,36850,32.59137324685388,35.41404065984236
340,גת (קיבוץ) ,GAT(QIBBUZ) ,چات ,Гат,50640.0,151390.0,24150,31.62728393730248,34.79393344814997
342,גברעם ,GEVAR'AM ,چڤَرعام,,172900.0,7050.0,167780,31.591953728812733,34.612202465568394
343,חמדיה ,HAMADYA ,حمَدْيا,,60820.0,140980.0,33870,32.519853705765385,35.52053079742552
344,מענית ,MA'ANIT ,معنيت,,70890.0,108110.0,75970,32.45694049872452,35.028746389316765
345,כפר סאלד ,KEFAR SZOLD ,كفار سولد,,6200.0,208570.0,14360,33.19473294144965,35.657445718339986
346,גליל ים ,GELIL YAM ,چْليل يام,,107000.0,70080.0,109220,32.15766899973128,34.83074167323219
347,מנרה ,MENNARA ,منارة,,270.0,203330.0,23520,33.1963011384646,35.54435206569298
348,ניר עם ,NIR AM ,نير عام,,208560.0,2790.0,204570,31.520900307330074,34.58077379515866
351,ניצן ,NIZZAN ,نِتْسان,,156630.0,20740.0,154330,31.739931470963427,34.63114474760644
352,גבולות ,GEVULOT ,چڤولوت,,217350.0,12910.0,209770,31.21053136864796,34.46578759689708
353,בית זיד ,BET ZEID ,بيت زايد,,42710.0,136720.0,59310,32.70178438908939,35.11446554576754
354,רביבים ,REVIVIM ,رِڤيڤيم,,230210.0,43560.0,212890,31.043015993117155,34.72132047870007
355,חורשים ,HORESHIM ,حورشيم,Хоршим,106610.0,75330.0,100420,32.13819612976079,34.970604190927624
356,הגושרים ,HAGOSHERIM ,هچوشريم,,2540.0,209320.0,15690,33.22062315871203,35.624374037052355
357,כפר בלום ,KEFAR BLUM ,كفار بْلوم,,6690.0,204120.0,19470,33.17318363525876,35.609066285808645
358,יד מרדכי ,YAD MORDEKHAY ,ياد مُردِخاي,ЯД МОРДЕХАЙ,174690.0,3450.0,171410,31.588119671170716,34.55794007888157
359,ניצנים ,NIZZANIM ,نِتْسَنيم,,159010.0,18970.0,156000,31.716584627602,34.635137748209964
360,"גבעת ניל""י ",GIV'AT NILI ,چِڤعات نيلي,,60700.0,117690.0,71040,32.54779520749173,35.041630881494946
362,רוחמה ,RUHAMA ,رُحاما,,181010.0,13860.0,170670,31.496954804361977,34.70496849668551
363,חפץ חיים ,HAFEZ HAYYIM ,حَفيتس حَييم,Хафец-Хаим,147550.0,35230.0,139600,31.7890858791005,34.80056478703312
364,כפר אוריה ,KEFAR URIYYA ,كفار أورِيا,,144850.0,45570.0,130690,31.793312104025663,34.94695124213501
365,בית קשת ,BET QESHET ,بيت كيشِت,,37330.0,150840.0,34560,32.71861797872173,35.393792461215085
366,שמיר ,SHAMIR ,شَمير,,9130.0,206050.0,15180,33.16580293182446,35.66010201968859
367,עין העמק ,EN HAEMEQ ,عين هعيمِك,,51220.0,127500.0,64830,32.63015042429427,35.08107526109235
368,ביריה ,BIRIYYA ,بيريا,,11720.0,180350.0,33440,32.97820762112068,35.50010840158628
369,גלעד (אבן יצחק) ,EVEN YIZHAQ(GAL'ED) ,چَلعيد (إيڤِن يِتسحاك),,59210.0,120040.0,67680,32.5569473119852,35.076183858040274
370,גזר ,GEZER ,چيزِر,,136020.0,50050.0,124830,31.8763607625962,34.92049580526526
371,כדורי ,KADOORIE ,كَدوري,,39140.0,150080.0,33610,32.70262230873399,35.40671181641584
372,רמות נפתלי ,RAMOT NAFTALI ,رَموت نفتلي,Рамот-Нафтали,3580.0,194600.0,24880,33.10085615685057,35.55317032221342
373,בית הלוי ,BET HALEVI ,بيت هلِڤي,,83650.0,93830.0,89260,32.353590210384056,34.931819733026884
374,חוקוק ,HUQOQ ,حوكوك,,21530.0,170980.0,28960,32.880025304545924,35.495456848307086
375,מגל ,MAGGAL ,مَچال,,78590.0,101500.0,79160,32.38563650056364,35.03472031307202
376,עברון ,EVRON ,عِڤرون,,11310.0,165060.0,67580,32.99189039106538,35.1006952789337
377,המעפיל ,HAMA'PIL ,همَعپيل,,80230.0,98400.0,83740,32.37802237011812,34.98334383367387
378,משגב עם ,MISGAV AM ,مِسچاڤ عَام,,200.0,208430.0,21550,33.247395326644536,35.54894069261197
379,גאולים ,GE'ULIM ,چِؤوليم ,,89560.0,88890.0,91430,32.29721924620439,34.94960528953788
380,להבות הבשן ,LAHAVOT HABASHAN ,لهڤوت هبَشان,,10980.0,202970.0,16040,33.140450301711425,35.64798754359893
382,מכמורת ,MIKHMORET ,مِخْمورِت,,79310.0,96830.0,91560,32.40575877001025,34.87215145878438
383,"עין הנצי""ב ",EN HANAZIV ,عين هَنِتْسيڤ,,65880.0,135690.0,39170,32.469702024748614,35.50230875189069
385,עמיעד ,AMMI'AD ,عميعاد,,18250.0,177840.0,28680,32.92835703653709,35.54135599202553
386,בני דרור ,BENE DEROR ,بني درور,Бней-Дрор,94260.0,83370.0,97160,32.26203205029573,34.898580027573644
387,כפר מונש ,KEFAR MONASH ,كفار مونَش,,84670.0,92500.0,90940,32.347787304924864,34.91622317703803
388,כפר קיש ,KEFAR KISH ,كفار كيش,,43540.0,149220.0,30630,32.66703302702751,35.44915737917034
389,בצרה ,BAZRA ,البعنة,,99990.0,77600.0,101990,32.21379956594863,34.879357245971946
390,רגבה ,REGBA ,ريچبا,,12910.0,163530.0,67050,32.976177578826494,35.09864945532952
392,קדמה ,QEDMA ,كيدما,,157570.0,26520.0,148640,31.70151765267643,34.775836657378434
393,גלאון ,GAL'ON ,چَلؤون,,163710.0,28600.0,150490,31.63330602184217,34.84788205809244
394,שובל ,SHOVAL ,شوڤال,,189460.0,21400.0,176410,31.413998831169483,34.739966304907036
395,משמר הנגב ,MISHMAR HANEGEV ,مِشمار هنيچِڤ,,195220.0,23160.0,182210,31.363763580748486,34.71803466919237
396,נבטים ,NEVATIM ,نِڤتيم,,208300.0,45200.0,188380,31.223445579640646,34.88122224649205
397,חצרים ,HAZERIM ,حتْسِريم,Хацерим,12550.0,182810.0,29780,31.23951255101719,34.714587551661005
398,שרשרת ,SHARSHERET ,شَرشيرِت,,193220.0,13130.0,184710,31.404336392720015,34.60365193860459
399,בארי ,BE'ERI ,بِئِري ,Беэри,194010.0,4710.0,189480,31.424254314892483,34.49146198441471
400,אבן שמואל ,EVEN SHEMU'EL ,إيڤِن شموئيل,Эвен Шмуэль,171450.0,19090.0,160390,31.574852738276462,34.76570397900962
402,ניר יצחק ,NIR YIZHAQ ,نير يِتسحاك,,217620.0,3710.0,213600,31.23717570200961,34.35755631767295
403,אורים ,URIM ,أوريم,Урим,205900.0,14250.0,198180,31.30455154837817,34.52378631317657
405,נווה אילן ,NEWE ILAN ,نِڤي إيلان,,140910.0,57000.0,122260,31.808188308930568,35.080943418654186
406,חצור-אשדוד ,HAZOR-ASHDOD ,حتْسور (أشدود),,253690.0,104560.0,224070,31.77250383376134,34.7201723556523
407,דברת ,DAVERAT ,دڤرات,,45250.0,141990.0,40140,32.64740369515697,35.34980205948991
408,נאות מרדכי ,NE'OT MORDEKHAY ,نِؤوت مُردِخاي,,5810.0,202270.0,21050,33.15982233795064,35.596844883076905
409,יחיעם ,YEHI'AM ,يِحيعام,,10120.0,169870.0,57450,32.99737897733538,35.21965302965887
412,קרית שלמה ,QIRYAT SHELOMO ,كِريات شلُمو,Кирьят Шломо,98040.0,78980.0,101900,32.23444056591117,34.86183042004661
413,צאלים ,ZE'ELIM ,پْتَحْيا,,137580.0,47130.0,127700,31.2035951033227,34.53483388986227
414,קלחים ,QELAHIM ,كْلَحيم,,186760.0,14110.0,176540,31.44761474488075,34.677490365983026
415,שוקדה ,SHOQEDA ,شوكِدا,,193300.0,7130.0,187690,31.422548641943905,34.52450905367937
416,מעין ברוך ,MA'YAN BARUKH ,مَعيان بَروخ,,183840.0,55590.0,159680,33.239995958770756,35.6072438710185
417,יקום ,YAQUM ,يَكوم,,96980.0,79590.0,102550,32.247958945840345,34.84196474233661
418,בני ציון ,BENE ZIYYON ,بني تْسِيون,,99520.0,77780.0,102310,32.22012156146926,34.86973361731652
419,סעד ,SA'AD ,ساعَد,,187870.0,3710.0,182850,31.47032024166139,34.535708862681474
421,משאבי שדה ,MASH'ABBE SADE ,مَشْأبي سَدي,,159370.0,21810.0,153040,31.00491973541741,34.78603268558524
422,חרב לאת ,HEREV LE'ET ,حيرِڤ لِئيت,,78770.0,97980.0,88090,32.40116031441395,34.90882460410903
423,העוגן ,HAOGEN ,هعوچِن,,82960.0,94260.0,89520,32.36234629556219,34.92376963018408
424,גבים ,GEVIM ,چِڤيم,,182330.0,4380.0,175870,31.508425858434588,34.59630971461653
425,משמרת ,MISHMERET ,مِشميرِت,,97590.0,81020.0,97740,32.228344825637635,34.92042199279114
426,עין כרמל ,EN KARMEL ,عين كرميل,,48360.0,127580.0,76230,32.67694003615561,34.953145357133884
427,כפר גלים ,KEFAR GALLIM ,كفار چَليم,,38840.0,137050.0,75280,32.766622417835265,34.95862966326426
428,ברור חיל ,BEROR HAYIL ,بْرور حايِل,,175690.0,7870.0,168580,31.557906347605716,34.64545527849698
429,אלוני אבא ,ALLONE ABBA ,ألوني أبا,Алоней-Абба,39480.0,141190.0,55300,32.72916116820922,35.17103573482795
430,בית לחם הגלילית ,BET LEHEM HAGELILIT ,بيت ليحِم هچليليت,,150760.0,62550.0,127250,32.73458919318287,35.19187566404847
431,דלתון ,DALTON ,دلتون,,7670.0,183450.0,32730,33.01513852174166,35.49201600530314
432,שמרת ,SHAMERAT ,شَمرات,,15730.0,160770.0,66420,32.9505667326031,35.095613616433646
433,נחשולים ,NAHSHOLIM ,نحْشوليم,,55980.0,119930.0,80220,32.61357272917438,34.9212719003287
434,החותרים ,HAHOTERIM ,هحوتريم,,40400.0,135480.0,75450,32.75178646412015,34.95683562151251
435,נצר סרני ,NEZER SERENI ,نيتْسِر سِريني,,132450.0,48100.0,126960,31.923508559811577,34.82467947542182
436,עין דור ,EN DOR ,عين دور,,44230.0,146560.0,33830,32.65694701345438,35.416948840063675
437,רשפים ,RESHAFIM ,رِشَفيم,,64270.0,135140.0,39710,32.48024038032958,35.476683926187796
439,שלוחות ,SHELUHOT ,شلوحوت,,65390.0,134540.0,40290,32.47193596174827,35.48101475749646
440,יסודות ,YESODOT ,يِسودوت,,143620.0,41480.0,133430,31.8154383722122,34.86497024766033
442,גדעונה ,GID'ONA ,چِدعونا,,56180.0,133700.0,43660,32.5487755007232,35.35940153552223
443,כפר הנשיא ,KEFAR HANASI ,كفار هَنَسي,,15560.0,185380.0,25130,32.97542113246328,35.60200812517567
444,רגבים ,REGAVIM ,رِچَڤيم,,63580.0,114880.0,72600,32.524435036740044,35.03430685090509
445,רמות מנשה ,RAMOT MENASHE ,رَموت مِنَشي,Рамот-Менаше,55090.0,123220.0,68090,32.59710899944509,35.0575092558564
446,אודים ,UDIM ,أوديم,Удим,95040.0,81490.0,101180,32.26467040000357,34.846185829496754
447,נורדיה ,NORDIYYA ,نوردِيا,,88500.0,88530.0,94310,32.31395705063329,34.898176958631765
448,בני עטרות ,BENE ATAROT ,بني عتَروت,Бней-Атарот,120000.0,62110.0,113030,32.02418727437547,34.91374833937235
449,נחלים ,NEHALIM ,نِحَليم,,116190.0,65010.0,110440,32.05841733303662,34.91304836851468
450,בארות יצחק ,BE'EROT YIZHAQ ,بِئِروت يِتسحاك,Беэрот-Ицхак,118130.0,63370.0,111930,32.04137802542036,34.91018219346188
452,יזרעאל ,YIZRE'EL ,يِزرِعيل,,54870.0,132730.0,46130,32.56163289889923,35.32151111524679
453,יפתח ,YIFTAH ,يِفتاح,,2000.0,197080.0,24960,33.12737400530858,35.55180564033045
454,סער ,SA'AR ,ساعَر,,7060.0,169260.0,67000,33.02900490484344,35.10933036936732
456,שורש ,SHORESH ,شورِش,,142420.0,55120.0,124080,31.79696006091793,35.06546756607814
457,גזית ,GAZIT ,چزيت,,46660.0,146610.0,31850,32.63780510012695,35.446854270762366
460,רמת רזיאל ,RAMAT RAZI'EL ,رَمات رَزيئيل,Рамат Разиэль,144830.0,54410.0,125950,31.773954737921848,35.072951060084826
462,טל שחר ,TAL SHAHAR ,تال إيل,,144110.0,43230.0,132100,31.805710055953206,34.90360852780085
463,געתון ,GA'TON ,چَعتون,,9020.0,170580.0,57740,33.006208565229514,35.21475795201065
464,הראל ,HAR'EL ,هرئيل,,143030.0,46860.0,129100,31.8097212048374,34.951750456484234
465,צובה ,ZOVA ,تْسِڤعون,Цуба,142950.0,58870.0,122750,31.783859744182845,35.11914525820838
466,בית דגן ,BET DAGAN ,بيت دَچان,Бейт-Даган,123940.0,55190.0,120520,31.999233988173863,34.82583873368563
469,קרית עקרון ,QIRYAT EQRON ,كِريات عِكرون,Кирьят-Экрон,139210.0,42800.0,132080,31.86187721507456,34.82103389578563
472,אבו גוש ,ABU GHOSH ,أبو غوش,,140680.0,59310.0,121040,31.806032989716904,35.110220206536184
473,אבו סנאן ,ABU SINAN ,أبو سنان,,14000.0,164280.0,60350,32.961012165959275,35.169469840709745
475,דחי ,DAHI ,الدحي,,48170.0,139310.0,41560,32.621032235396655,35.34565033505012
478,אכסאל ,IKSAL ,إكسال,,41620.0,143850.0,41590,32.680729106279195,35.32253301983408
480,בית ג'ן ,BEIT JANN ,بيت جن,Бейт-Джан,10120.0,173120.0,43280,32.96462039300392,35.3785442414988
481,מגאר ,MUGHAR ,موغير,,6640.0,221050.0,1210,32.88636116040773,35.41289224719812
482,בועיינה-נוג'ידאת ,BU'EINE-NUJEIDAT ,بوتسرا,Буейне-Нуджидат,15970.0,160300.0,67540,32.80785312518708,35.36877942956384
483,בענה ,BI NE ,البعينة–نجيدات,Бина,65520.0,111130.0,79870,32.928916997883995,35.27491548006771
485,ג'וליס ,JULIS ,جولس,Джулис,15970.0,162910.0,58170,32.941275495029,35.18081970811558
487,ג'ש (גוש חלב) ,JISH(GUSH HALAV) ,الجش (چوش حَلاڤ),Джиш (Гуш Халав),168420.0,57620.0,144240,33.022507319016924,35.447012018900146
489,דבוריה ,DABBURYE ,دبورية,Дабурия,40270.0,147200.0,37040,32.69174814657289,35.372031966269276
490,דייר אל-אסד ,DEIR AL-ASAD ,ديمونا,Дейр-аль-Асад,48170.0,139310.0,41560,32.93772923671549,35.261918326907534
492,דייר חנא ,DEIR HANNA ,دير الأسد,Дейр-Ханна,48170.0,139310.0,41560,32.86164440012487,35.368108947252665
493,דייר ראפאת ,DEIR RAFAT ,دير حنا,,48170.0,139310.0,41560,inf,inf
494,דאלית אל-כרמל ,DALIYAT AL-KARMEL ,دالية الكرمل,Далият-эль-Кармель,154570.0,61670.0,130720,32.693402982813204,35.051507345732524
496,חורפיש ,HURFEISH ,حرفيش,Хурфейш,4640.0,176870.0,45590,33.017596748659095,35.34714954059344
497,טייבה (בעמק) ,TAYIBE(BAEMEQ) ,الطيبة الزعبية,,92090.0,89000.0,88520,32.604152210672,35.445122654103784
498,טורעאן ,TUR'AN ,طرعان,,30870.0,155150.0,36460,32.7768309377058,35.37489410324792
499,יפיע ,YAFI ,يافة الناصرة (يَفييَع),,42030.0,141580.0,46070,32.68376081648899,35.27470834615405
502,ירכא ,YIRKA ,يركا,,14520.0,165020.0,57000,32.954030443725905,35.20112653345689
504,כאבול ,KABUL ,كابول,,24080.0,156560.0,53420,32.8719194235726,35.20715409440864
505,כאוכב אבו אל-היג'א ,KAOKAB ABU AL-HIJA ,كوكب أبو الهيجا,,24080.0,156560.0,53420,32.83072846428966,35.24836163307495
507,כפר יאסיף ,KAFAR YASIF ,كفر ياسيف,,14720.0,163360.0,60600,32.95339883495475,35.16243582956428
508,כפר כמא ,KAFAR KAMA ,كفر كما,,37460.0,153590.0,30230,32.721538638983795,35.43999730420169
509,כפר כנא ,KAFAR KANNA ,كفر كنا,Кафр-Кана,34410.0,150680.0,39330,32.74765440871501,35.34191372259171
510,כפר מנדא ,KAFAR MANDA ,كفار مَلال,,28770.0,152950.0,47600,32.80856107742505,35.26354040441095
511,עילוט ,ILUT ,عيلوط,,38700.0,144030.0,47040,32.71797550161569,35.2619076161925
512,כפר מצר ,KAFAR MISR ,كفار مَسَريك,,115990.0,64170.0,111610,32.64551078977101,35.422484717544954
514,עין ראפה ,EIN RAFA ,عين رافة,,142300.0,58760.0,122350,31.789601093886514,35.113264440392236
516,מג'ד אל-כרום ,MAJD AL-KURUM ,مجد الكروم,,178950.0,37140.0,159860,32.920670617621916,35.255837131681304
517,מזרעה ,MAZRA'A ,المزرعة,,12220.0,164150.0,67450,32.984228718845436,35.09816988493875
518,מעיליא ,MI'ELYA ,معليا,,7410.0,174360.0,53390,33.02708999039455,35.257203152690884
520,משהד ,MESHHED ,المشهد,,35250.0,149190.0,41110,32.74021822684409,35.32426415072871
521,עין נקובא ,EIN NAQQUBA ,عين نقوبا,,141890.0,59450.0,121770,31.794424485691156,35.12158989296465
522,נחף ,NAHEF ,نحف,,14040.0,167650.0,46500,32.93526658750294,35.31979894792994
523,ניין ,NEIN ,نيلي,,138540.0,57380.0,120670,32.63089805248756,35.34875880544647
524,נאעורה ,NA'URA ,الناعورة,,48870.0,141310.0,37710,32.61371518846128,35.39171048785467
525,סאג'ור ,SAJUR ,ساجور,,12760.0,169540.0,44730,32.94126880770001,35.34470119663439
526,סולם ,SULAM ,سولم,,251840.0,43080.0,239050,32.60629681718275,35.334540447230914
527,שזור ,SHEZOR ,شِزور,,13750.0,168980.0,43490,32.932422733533464,35.35241946704737
528,עוזייר ,UZEIR ,,,29710.0,154020.0,41180,32.79028545753198,35.32485700074574
529,אעבלין ,I'BILLIN ,إعبلين,,29010.0,151300.0,54160,32.82406000860903,35.19112709260841
530,עיילבון ,EILABUN ,عيلبون,,24370.0,162110.0,35130,32.835257411751506,35.40291638774886
531,עראבה ,ARRABE ,عرابة,,22820.0,160510.0,41310,32.85106623987887,35.33769321519289
532,עין מאהל ,EIN MAHEL ,عين ماهل,,36940.0,149020.0,38410,32.72184650672855,35.35282249057602
534,עספיא ,ISIFYA ,عسفيا,,41890.0,135570.0,65480,32.71151810364764,35.0747268467191
535,פסוטה ,FASSUTA ,فسوطة,,3510.0,178550.0,48100,33.048067852721,35.310186122706234
536,פקיעין (בוקייעה) ,PEQI'IN (BUQEI'A) ,البقيعة,,9430.0,172190.0,47500,32.973945021556936,35.33075866754031
537,פוריידיס ,FUREIDIS ,فريديس,,56830.0,119370.0,77530,32.597889795132836,34.9539421302604
538,שעב ,SHA'AB ,شعب,,21480.0,159830.0,51380,32.88903897000986,35.24166642791124
539,רומאנה ,RUMMANE ,رمانة,,30140.0,153120.0,42500,32.78821477093753,35.31110439703726
540,ריחאניה ,REIHANIYYE ,الريحانية,,4720.0,186480.0,31830,33.04868163062459,35.4878128493505
541,ג'סר א-זרקא ,JISR AZ-ZARQA ,جنابيب,Джиср-эз-Зарка,66210.0,122630.0,53690,32.536782044474975,34.91144415814717
542,ריינה ,REINE ,رِمونيم,,37500.0,146730.0,42440,32.71955468138795,35.313965855516365
543,ראמה ,RAME ,الرامة,,12940.0,170210.0,42640,32.93839132116488,35.366992361149
546,עין אל-אסד ,EIN AL-ASAD ,عين الأسد,,53650.0,122360.0,77550,32.94019512091122,35.39920349334692
547,טמרה (יזרעאל) ,TAMRA (YIZRE'EL) ,طمرة الزعبية,,25640.0,154530.0,54340,32.634352427284576,35.40382385097577
549,גנות הדר ,GANNOT HADAR ,چَنوت هَدار,,87890.0,89190.0,93680,32.32087886892665,34.90107900606844
553,ניר בנים ,NIR BANIM ,نير بَنيم,,161130.0,22950.0,152380,31.67160736100388,34.755016135620814
555,שדמה ,SHEDEMA ,شْدِما,,144090.0,35220.0,139780,31.83355298167661,34.741607531079
559,בוסתן הגליל ,BUSTAN HAGALIL ,بُستان هچليل,,15970.0,160300.0,67540,32.951266637893625,35.08270202648638
562,בית אלעזרי ,BET EL'AZARI ,بيت إلعزَري,Бейт-Эльазари,141460.0,40120.0,134770,31.844553725390305,34.80327283620491
563,משמר דוד ,MISHMAR DAWID ,مِشمار دَڤيد,,142240.0,44430.0,130680,31.822282401020995,34.90127639182919
564,רבדים ,REVADIM ,رِڤَديم,,148990.0,34880.0,140000,31.772355196566497,34.815625960556034
565,אזור ,AZOR ,أزور,Азор,121950.0,56080.0,120370,32.02401717654017,34.8065494384672
566,גבעת שמש ,GIV'AT SHEMESH ,چِڤعات شيمِش,,146740.0,44720.0,132060,31.775169397087158,34.951495042147506
567,צרעה ,ZOR'A ,تْسُرعا,,147940.0,45360.0,132260,31.76218841132036,34.96924447522983
570,מעונה ,ME'ONA ,مِعونا,,8640.0,173400.0,53340,33.01655302414257,35.260113597450605
571,בית גמליאל ,BET GAMLI'EL ,بيت چمليئيل,Бейт-Гамлиэль,140990.0,38570.0,136450,31.85718197448445,34.76139254040477
572,בית העמק ,BET HAEMEQ ,بيت هعيمِك,,12820.0,164510.0,62860,32.97056337800762,35.14530648957559
573,מבקיעים ,MAVQI'IM ,مڤكيعيم,,170600.0,7490.0,167410,31.62173615536442,34.575331421392605
574,גשר הזיו ,GESHER HAZIW ,چيشِر هزيڤ,,50640.0,151390.0,24150,33.040267335836596,35.111047331670214
575,יסעור ,YAS'UR ,يَسْعور,,20620.0,158070.0,58340,32.90072731807012,35.16623868710241
576,כברי ,KABRI ,كَبْري ,,7330.0,169720.0,63500,33.0212550894827,35.14901185355136
577,יד בנימין ,YAD BINYAMIN ,ياد بِنيَمين,ЯД БИНЬЯМИН,146180.0,37320.0,137510,31.797362352717084,34.82198641107854
578,סאסא ,SASA ,ساسا,,3430.0,180060.0,40870,33.02671613673039,35.39575338053759
579,כפר ראש הנקרה ,KEFAR ROSH HANIQRA ,كفار روش هنِكرا,Рош-ха-Никра,78060.0,106740.0,70280,33.08604524585182,35.11480652986036
580,"כרם מהר""ל ",KEREM MAHARAL ,كيرِم مهرال,,50840.0,125610.0,73170,32.64589143449006,34.99065287607418
582,כפר הנגיד ,KEFAR HANAGID ,كفار هنَچيد,,137910.0,40520.0,134790,31.887017609838065,34.74905964400653
584,זיקים ,ZIQIM ,زِخرون يعكوڤ,,176280.0,54960.0,152410,31.608938718002005,34.521705769727404
585,לביא ,LAVI ,لِڤي,,30220.0,159700.0,30310,32.78886908392082,35.44284541842728
586,מגידו ,MEGIDDO ,مِچِدو,,55410.0,127030.0,57620,32.57964737077496,35.18167236768875
587,סביון ,SAVYON ,سَڤيون,,117830.0,62200.0,113520,32.04724119925613,34.87820444636911
588,בני ראם ,BENE RE'EM ,بني رِئيم,,149710.0,33120.0,141710,31.769732935479716,34.791056073509864
589,בצת ,BEZET ,بيتْسِت,,2210.0,174490.0,64050,33.0706717391037,35.13445974206963
590,נווה אור ,NEWE UR ,نِڤي أور,,54210.0,148790.0,26250,32.58838025400611,35.553178570867004
591,עשרת ,ASERET ,عسيرِت,,144730.0,34990.0,139970,31.824631161511395,34.74715135886696
592,בני דרום ,BENE DAROM ,بني دروم,Бней-Даром,146450.0,31350.0,143860,31.820253526886255,34.692271211681245
593,ערוגות ,ARUGOT ,عروچوت,,154040.0,28900.0,145970,31.731578621115517,34.77197667983798
594,צפריה ,ZAFRIYYA ,تْسَفرِيا,,123230.0,56830.0,118600,32.00320134062602,34.85591170374208
595,לוחמי הגיטאות ,LOHAME HAGETA'OT ,لوحَمي هچِتَؤوت,,14490.0,162010.0,66590,32.962242615398985,35.098260622526894
596,מלכיה ,MALKIYYA ,مَلكِيا,,780.0,192340.0,28800,33.09826658510797,35.5111713839674
597,פלמחים ,PALMAHIM ,پلمحيم,Пальмахим,17230.0,164020.0,53620,31.93464582533235,34.710848797461374
598,בית קמה ,BET QAMA ,بيت كَما,Бейт-Кама,185440.0,20860.0,172280,31.447502303550657,34.76130677080965
599,פרוד ,PAROD ,پَرود,,14600.0,172700.0,36970,32.932318243230505,35.43274442322831
602,נירים ,NIRIM ,نيريم,,206170.0,2470.0,202870,31.334590526738758,34.39614026021178
603,אלקוש ,ELQOSH ,إلكوش,,3770.0,177630.0,47150,33.033278423518674,35.32379268120463
604,בית עריף ,BET ARIF ,بيت عريف,Бейт-Ариф,122770.0,61010.0,113930,31.995784539440372,34.934481807689494
605,כפר שמאי ,KEFAR SHAMMAY ,كفار رِتَميم,,12380.0,176280.0,36750,32.95647247248597,35.45804387750457
606,מזור ,MAZOR ,مَزور,,116850.0,65120.0,110140,32.05270979670492,34.92581645777696
607,מירון ,MERON ,ميرون,,8720.0,178300.0,38190,32.98710687834463,35.43944503770431
609,כפר חושן ,KEFAR HOSHEN ,كفار حوشِن,,28140.0,163020.0,28850,33.01071443417401,35.438200077450986
610,סתריה ,SITRIYYA ,سِترِيا,,135680.0,46540.0,128360,31.88966344970473,34.84472462269893
612,צרופה ,ZERUFA ,تْسروفا,,51550.0,124420.0,77100,32.64856174929613,34.94764878936044
613,ציפורי ,ZIPPORI ,تْسِپوري,,35170.0,147650.0,45330,32.74656411177225,35.27911943304281
614,שומרה ,SHOMERA ,شومِرا,,1950.0,181140.0,50010,33.08464290497767,35.28504481835794
615,קדרון ,QIDRON ,كِدرون,,144850.0,37180.0,137670,31.815436166437166,34.79600531391416
616,רינתיה ,RINNATYA ,رِنَتْيا,,117610.0,64650.0,110550,32.044346712989594,34.928088363796924
617,ברקאי ,BARQAY ,بركاي,,68890.0,109910.0,75090,32.47524860208991,35.02933780964862
618,חדיד ,HADID ,حديد,,125770.0,58470.0,116410,31.968875390191112,34.93129880761705
619,בית גוברין ,BET GUVRIN ,بيت چُڤرين,,10120.0,173120.0,43280,31.612276421595407,34.89579211676569
620,משואות יצחק ,MASSUOT YIZHAQ ,مَسؤوت يِتسحاك,,159150.0,21130.0,153720,31.702709529829967,34.69158226309417
622,עין צורים ,EN ZURIM ,عين تْسوريم,,159270.0,22390.0,152440,31.69542863465376,34.71865477928609
623,יראון ,YIR'ON ,يِرؤون,,1460.0,187700.0,34220,33.07692761270463,35.4541623206322
627,ג'לג'וליה ,JALJULYE ,جسر الزرقاء,Джальджулия,105370.0,75670.0,100520,32.150866984058005,34.95500378632004
628,ג'ת ,JAAT ,جت,Джат,77110.0,102900.0,78210,32.39928479485342,35.03549651698977
633,כפר ברא ,KAFAR BARA ,كفر برا,,107410.0,74690.0,100960,32.1311265127033,34.97065176762214
634,כפר קאסם ,KAFAR QASEM ,كفر قاسم,Кафр-Касем,109100.0,73600.0,101810,32.11754791947754,34.967089289769305
635,מוקייבלה ,MUQEIBLE ,متقلب,,60450.0,127040.0,50740,32.5136972505545,35.29732460663899
636,צנדלה ,SANDALA ,صندلة,,35170.0,147650.0,45330,32.522312852419226,35.32350905506551
637,ערערה ,AR'ARA ,عارة–عرعرة,,65560.0,115150.0,68340,32.49872142000283,35.095706805075196
